^SAMPLE = GSM913972
#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = 
!sample_table_begin
ID_REF	VALUE	ABS_CALL
1416162_at	840.2	P
1416163_at	741.2	P
1416164_at	25.1	A
1416165_at	2027.9	P
1416166_a_at	854.7	P
1416167_at	1660.7	P
1416168_at	45	A
1416169_at	18.8	P
1416170_at	1643.5	P
1416171_at	554	P
1416172_at	1119.4	P
1416173_at	140	P
1416174_at	68.8	P
1416175_a_at	3904.1	P
1416176_at	2612.1	P
1416177_at	1833.1	P
1416178_a_at	13.9	A
1416179_a_at	1839.5	P
1416180_a_at	429.9	P
1416181_at	1974.2	P
1416182_at	323.2	P
1416183_a_at	1326.5	P
1416184_s_at	2185.2	P
1416185_a_at	2314.4	P
1416186_at	1416.7	P
1416187_s_at	2181.2	P
1416188_at	825.4	P
1416189_a_at	2371.2	P
1416190_a_at	643.5	P
1416191_at	1118.8	P
1416192_at	227.4	P
1416193_at	2.4	A
1416194_at	19.1	A
1416195_at	718.5	P
1416196_at	4.3	A
1416197_at	1909.1	P
1416198_at	345.9	P
1416199_at	259.7	P
1416200_at	20.9	A
1416201_at	768.1	P
1416202_at	3203	P
1416203_at	38.6	A
1416204_at	46.6	A
1416205_at	2602.6	P
1416206_at	441.3	P
1416207_at	1117.8	P
1416208_at	2672.5	P
1416209_at	3354.8	P
1416210_at	1494.3	P
1416211_a_at	3.4	A
1416212_at	3228.7	P
1416213_x_at	997.8	P
1416214_at	1106.2	P
1416215_at	299.9	P
1416216_at	395.3	P
1416217_a_at	10061.3	P
1416218_x_at	389.2	P
1416219_at	9665.1	P
1416220_at	3860.5	P
1416221_at	42.1	A
1416222_at	1218.7	P
1416223_at	394.3	P
1416224_at	108.9	P
1416225_at	78.4	A
1416226_at	8710.1	P
1416227_at	294.6	P
1416228_at	1493.5	P
1416229_at	694.3	P
1416230_at	689.6	P
1416231_at	240.5	P
1416232_at	1.5	A
1416233_at	4769.5	P
1416234_at	3070.4	P
1416235_at	1650	P
1416236_a_at	0.6	A
1416237_at	10.6	A
1416238_at	2.6	A
1416239_at	780.3	P
1416240_at	9329.3	P
1416241_at	1395.6	P
1416242_at	8.3	A
1416243_a_at	9287.8	P
1416244_a_at	5447.4	P
1416245_at	1600.4	P
1416246_a_at	2762.2	P
1416247_at	2143	P
1416248_at	3100.9	P
1416249_at	1662.9	P
1416250_at	151.6	P
1416251_at	1591.7	P
1416252_at	1632.3	P
1416253_at	487.9	P
1416254_a_at	234.6	P
1416255_at	3.7	A
1416256_a_at	6108.3	P
1416257_at	2267.3	P
1416258_at	491.2	P
1416259_at	207.6	P
1416260_a_at	1428.5	P
1416261_at	591.9	P
1416262_at	504.1	P
1416263_at	39.3	A
1416264_at	55.5	A
1416265_at	49.5	P
1416266_at	30	A
1416267_at	377	P
1416268_at	283.4	P
1416269_at	7251.6	P
1416270_at	2290.4	P
1416271_at	13.1	A
1416272_at	2645.7	P
1416273_at	2266.4	P
1416274_at	293.6	P
1416275_at	198.5	P
1416276_a_at	12680.9	P
1416277_a_at	12618.9	P
1416278_a_at	5605.1	P
1416279_at	798.1	P
1416280_at	2184.3	P
1416281_at	671.1	P
1416282_at	2804.7	P
1416283_at	759.3	P
1416284_at	832.5	P
1416285_at	2960.3	P
1416286_at	3.8	A
1416287_at	42.8	A
1416288_at	4839.1	P
1416289_at	636.7	P
1416290_a_at	1583.8	P
1416291_at	1464.2	P
1416292_at	1800.4	P
1416293_at	79.4	A
1416294_at	934.6	P
1416295_a_at	2948.8	P
1416296_at	1705.9	P
1416297_s_at	81.6	A
1416298_at	14532.9	P
1416299_at	638	P
1416300_a_at	10144.4	P
1416301_a_at	0.5	A
1416302_at	3.1	A
1416303_at	2219.4	P
1416304_at	1307	P
1416305_at	31	A
1416306_at	2.1	A
1416307_at	943.8	P
1416308_at	867.4	P
1416309_at	1261.7	P
1416310_at	33.3	A
1416311_s_at	272.3	A
1416312_at	2506.5	P
1416313_at	66	P
1416314_at	10.2	A
1416315_at	332.7	P
1416316_at	27.3	A
1416317_a_at	488.9	P
1416318_at	145.6	P
1416319_at	386	P
1416320_at	232.5	P
1416321_s_at	3.3	A
1416322_at	9.4	A
1416323_at	179.9	P
1416324_s_at	255.1	P
1416325_at	17.2	A
1416326_at	4139.7	P
1416327_at	2030.6	P
1416328_a_at	8573.2	P
1416329_at	3685.5	P
1416330_at	450.4	P
1416331_a_at	461.4	P
1416332_at	198.9	P
1416333_at	1248.2	P
1416334_at	5.6	A
1416335_at	5428.2	P
1416336_s_at	1065.6	P
1416337_at	5258.4	P
1416338_at	575.7	P
1416339_a_at	1109.3	P
1416340_a_at	2311.6	P
1416341_at	890	P
1416342_at	6.4	A
1416343_a_at	666.2	P
1416344_at	644.4	P
1416345_at	1911.6	P
1416346_at	976.8	P
1416347_at	275.7	P
1416348_at	59.1	A
1416349_at	1147.5	P
1416350_at	166	P
1416351_at	1486.6	P
1416352_s_at	1048	P
1416353_at	729.9	P
1416354_at	631.5	P
1416355_at	28.8	A
1416356_at	710.9	P
1416357_a_at	4.1	A
1416358_at	373.1	P
1416359_at	753.1	P
1416360_at	412.1	P
1416361_a_at	17.2	A
1416362_a_at	455.8	P
1416363_at	68	P
1416364_at	5175.5	P
1416365_at	4508.6	P
1416366_at	6589.7	P
1416367_at	482.6	P
1416368_at	6.3	A
1416369_at	1092.4	P
1416370_at	239.1	P
1416371_at	12.6	A
1416372_at	750.3	P
1416373_at	1149.4	P
1416374_at	641.9	P
1416375_at	178.5	P
1416376_at	345.2	P
1416377_at	241.9	P
1416378_at	177.2	M
1416379_at	298.7	P
1416380_at	138.7	P
1416381_a_at	1642.3	P
1416382_at	4644.7	P
1416383_a_at	88.8	A
1416384_a_at	1873.5	P
1416385_a_at	6881.4	P
1416386_a_at	3730.5	P
1416387_at	570.3	P
1416388_at	209.6	P
1416389_a_at	1152.3	P
1416390_at	93.5	P
1416391_at	66.7	A
1416392_a_at	11848	P
1416393_at	3011.5	P
1416394_at	1382.7	P
1416395_at	468.2	P
1416396_at	36.1	A
1416397_at	381.2	P
1416398_at	75.8	P
1416399_a_at	2384	P
1416400_at	320.5	P
1416401_at	2416.5	P
1416402_at	124.9	P
1416403_at	136.8	P
1416404_s_at	12993.6	P
1416405_at	26.9	A
1416406_at	295	P
1416407_at	624	P
1416408_at	596	P
1416409_at	605.8	P
1416410_at	257.3	P
1416411_at	28.9	A
1416412_at	490.5	P
1416413_at	4.3	A
1416414_at	71.9	A
1416415_a_at	11441.3	P
1416416_x_at	586.2	P
1416417_a_at	4661.6	P
1416418_at	312.3	P
1416419_s_at	493.9	P
1416420_a_at	11987.6	P
1416421_a_at	585.1	P
1416422_a_at	482.5	P
1416423_x_at	326.8	P
1416424_at	1294.4	P
1416425_at	515.4	P
1416426_at	1734.7	P
1416427_at	3327.1	P
1416428_at	429.1	P
1416429_a_at	2771.3	P
1416430_at	1866.2	P
1416431_at	5189.1	P
1416432_at	36.1	A
1416433_at	301.6	P
1416434_at	22.5	A
1416435_at	425.6	P
1416436_a_at	487.9	P
1416437_a_at	87.5	P
1416438_at	1047.7	P
1416439_at	853.2	P
1416440_at	1680.9	P
1416441_at	213.2	P
1416442_at	479	P
1416443_a_at	1883.6	P
1416444_at	0.7	A
1416445_at	939.3	P
1416446_at	918.7	P
1416447_at	1657.3	P
1416448_at	234.4	P
1416449_x_at	467.5	P
1416450_at	93.6	A
1416451_s_at	125.4	P
1416452_at	2063.2	P
1416453_x_at	11127.1	P
1416454_s_at	341	A
1416455_a_at	13.2	A
1416456_a_at	1.9	A
1416457_at	183.3	A
1416458_at	424.2	P
1416459_at	329.1	P
1416460_at	10.7	A
1416461_at	5720.3	P
1416462_at	3737.1	P
1416463_at	114.2	P
1416464_at	3.3	A
1416465_a_at	4006	P
1416466_at	3734.3	P
1416467_at	1538.6	P
1416468_at	5.4	A
1416469_at	308.2	P
1416470_a_at	2084.6	P
1416471_at	1546.3	P
1416472_at	1094.7	P
1416473_a_at	23.5	A
1416474_at	18.3	A
1416475_at	723.4	P
1416476_a_at	4021.7	P
1416477_at	1857.2	P
1416478_a_at	9650.1	P
1416479_a_at	1802.2	P
1416480_a_at	1956.2	P
1416481_s_at	158.8	P
1416482_at	24.9	A
1416483_at	149.6	P
1416484_at	84.6	P
1416485_at	4113.2	P
1416486_at	1223.8	P
1416487_a_at	18.4	A
1416488_at	422.7	P
1416489_at	350.7	P
1416490_at	16.4	P
1416491_at	74.2	A
1416492_at	133.7	A
1416493_at	2096.2	P
1416494_at	2912.5	P
1416495_s_at	2396.6	P
1416496_at	4372.2	P
1416497_at	216.6	P
1416498_at	1146.6	P
1416499_a_at	1313	P
1416500_at	2718.3	P
1416501_at	137.3	A
1416502_a_at	880.5	P
1416503_at	403.2	P
1416504_at	10.3	A
1416505_at	129.1	A
1416506_at	4869.1	P
1416507_at	28.3	A
1416508_at	2261.3	P
1416509_at	2502.4	P
1416510_at	1371.3	P
1416511_a_at	155.2	A
1416512_at	993.4	P
1416513_at	3.6	A
1416514_a_at	67.9	P
1416515_at	38.5	A
1416516_at	12.1	A
1416517_at	202.1	P
1416518_at	2.4	A
1416519_at	10766.5	P
1416520_x_at	4393.4	P
1416521_at	144.7	A
1416522_a_at	879.5	P
1416523_at	61.4	A
1416524_at	1634	P
1416525_at	1243.4	P
1416526_a_at	3880.9	P
1416527_at	1529.6	P
1416528_at	7818	P
1416529_at	2068.9	P
1416530_a_at	2933.4	P
1416531_at	2288.6	P
1416532_at	233.9	P
1416533_at	542.1	P
1416534_at	1485.3	P
1416535_at	591.7	P
1416536_at	288	P
1416537_at	445.1	P
1416538_at	181.8	P
1416539_at	259.1	P
1416540_at	709.2	P
1416541_at	354.7	P
1416542_at	128.8	P
1416543_at	1319.5	P
1416544_at	936.6	P
1416545_at	693.3	P
1416546_a_at	10581.8	P
1416547_at	3460.5	P
1416548_at	429.6	P
1416549_at	462.2	P
1416550_at	373	P
1416551_at	377.4	P
1416552_at	51.2	A
1416553_at	1106.6	P
1416554_at	323.3	A
1416555_at	1071.1	P
1416556_at	2167.2	P
1416557_a_at	588.9	P
1416558_at	269	P
1416559_at	337	P
1416560_at	95.6	P
1416561_at	5.3	A
1416562_at	53.2	A
1416563_at	1066.5	P
1416564_at	3.6	A
1416565_at	7807.6	P
1416566_at	1827.3	P
1416567_s_at	2463.4	P
1416568_a_at	355.1	P
1416569_at	897.7	P
1416570_s_at	1446.2	P
